,source,text,retweet_count,favorite_count,is_retweet,id_str,date,time,hour,week,time_start,time_end,duration,listed_title,top_category,listed_location
0,TWITTER FOR IPHONE,ACCORDING TO NBC NEWS VOTERS NATIONWIDE DISAPPROVE OF THE SO-CALLED MUELLER INVESTIGATION (46%) MORE THAN THEY APPROVE (41%). YOU MEAN THEY ARE FINALLY BEGINNING TO UNDERSTAND WHAT A DISGUSTING WITCH HUNT LED BY 17 ANGRY DEMOCRATS IS ALL ABOUT!,28199.0,122357.0,FALSE,1.06019E+18,2018-11-07,15:39:00,15,1.0,13:30:00,17:00:00,3.5,EXECUTIVE TIME,EXECUTIVE_TIME,OVAL OFFICE
1,TWITTER FOR IPHONE,IN ALL FAIRNESS NANCY PELOSI DESERVES TO BE CHOSEN SPEAKER OF THE HOUSE BY THE DEMOCRATS. IF THEY GIVE HER A HARD TIME PERHAPS WE WILL ADD SOME REPUBLICAN VOTES. SHE HAS EARNED THIS GREAT HONOR!,18157.0,88740.0,FALSE,1.06016E+18,2018-11-07,13:31:00,13,1.0,13:30:00,17:00:00,3.5,EXECUTIVE TIME,EXECUTIVE_TIME,OVAL OFFICE
2,TWITTER FOR IPHONE,IF THE DEMOCRATS THINK THEY ARE GOING TO WASTE TAXPAYER MONEY INVESTIGATING US AT THE HOUSE LEVEL THEN WE WILL LIKEWISE BE FORCED TO CONSIDER INVESTIGATING THEM FOR ALL OF THE LEAKS OF CLASSIFIED INFORMATION AND MUCH ELSE AT THE SENATE LEVEL. TWO CAN PLAY THAT GAME!,45878.0,177925.0,FALSE,1.06016E+18,2018-11-07,13:04:00,13,1.0,12:30:00,13:30:00,1.0,LUNCH,LUNCH,PRIVATE DINING ROOM
3,TWITTER FOR IPHONE,TO ANY OF THE PUNDITS OR TALKING HEADS THAT DO NOT GIVE US PROPER CREDIT FOR THIS GREAT MIDTERM ELECTION JUST REMEMBER TWO WORDS - FAKE NEWS!,29074.0,138690.0,FALSE,1.06015E+18,2018-11-07,12:52:00,12,1.0,12:30:00,13:30:00,1.0,LUNCH,LUNCH,PRIVATE DINING ROOM
4,TWITTER FOR IPHONE,THOSE THAT WORKED WITH ME IN THIS INCREDIBLE MIDTERM ELECTION EMBRACING CERTAIN POLICIES AND PRINCIPLES DID VERY WELL. THOSE THAT DID NOT SAY GOODBYE! YESTERDAY WAS SUCH A VERY BIG WIN AND ALL UNDER THE PRESSURE OF A NASTY AND HOSTILE MEDIA!,24165.0,109847.0,FALSE,1.06014E+18,2018-11-07,12:07:00,12,1.0,11:30:00,12:30:00,1.0,EXECUTIVE TIME,EXECUTIVE_TIME,OVAL OFFICE
5,TWITTER FOR IPHONE,I WILL BE DOING A NEWS CONFERENCE AT THE WHITE HOUSE - 11:30 A.M. WILL BE DISCUSSING OUR SUCCESS IN THE MIDTERMS!,13464.0,68992.0,FALSE,1.06015E+18,2018-11-07,12:36:00,12,1.0,12:30:00,13:30:00,1.0,LUNCH,LUNCH,PRIVATE DINING ROOM
6,TWITTER FOR IPHONE,RON DESANTIS SHOWED GREAT COURAGE IN HIS HARD FOUGHT CAMPAIGN TO BECOME THE GOVERNOR OF FLORIDA. CONGRATULATIONS TO RON AND FAMILY!,16381.0,87315.0,FALSE,1.06014E+18,2018-11-07,11:55:00,11,1.0,11:30:00,12:30:00,1.0,EXECUTIVE TIME,EXECUTIVE_TIME,OVAL OFFICE
7,TWITTER FOR IPHONE,RECEIVED SO MANY CONGRATULATIONS FROM SO MANY ON OUR BIG VICTORY LAST NIGHT INCLUDING FROM FOREIGN NATIONS (FRIENDS) THAT WERE WAITING ME OUT AND HOPING ON TRADE DEALS. NOW WE CAN ALL GET BACK TO WORK AND GET THINGS DONE!,22296.0,110248.0,FALSE,1.06013E+18,2018-11-07,11:21:00,11,1.0,11:00:00,11:30:00,0.5,MEETING WITH THE CHIEF OF STAFF,MEETING,OVAL OFFICE
8,TWITTER FOR IPHONE,I HAVE BEEN FULLY BRIEFED ON THE TERRIBLE SHOOTING IN CALIFORNIA. LAW ENFORCEMENT AND FIRST RESPONDERS TOGETHER WITH THE FBI ARE ON SCENE. 13 PEOPLE AT THIS TIME HAVE BEEN REPORTED DEAD. LIKEWISE THE SHOOTER IS DEAD ALONG WITH THE FIRST POLICE OFFICER TO ENTER THE BAR....,19965.0,94326.0,FALSE,1.06051E+18,2018-11-08,12:38:00,12,1.0,12:30:00,13:30:00,1.0,LUNCH,LUNCH,PRIVATE DINING ROOM
9,TWITTER FOR IPHONE,....GREAT BRAVERY SHOWN BY POLICE. CALIFORNIA HIGHWAY PATROL WAS ON SCENE WITHIN 3 MINUTES WITH FIRST OFFICER TO ENTER SHOT NUMEROUS TIMES. THAT SHERIFF’S SERGEANT DIED IN THE HOSPITAL. GOD BLESS ALL OF THE VICTIMS AND FAMILIES OF THE VICTIMS. THANK YOU TO LAW ENFORCEMENT.,24628.0,127120.0,FALSE,1.06052E+18,2018-11-08,12:51:00,12,1.0,12:30:00,13:30:00,1.0,LUNCH,LUNCH,PRIVATE DINING ROOM
